id,price,currency
5668639818,1250.0,USD
5668639686,1395.0,USD
5668638765,1600.0,USD
5668637998,3195.0,USD
5668630356,1740.0,USD
5668627160,4500.0,USD
5668624921,1299.0,USD
5668624600,1549.0,USD
5668624330,1905.0,USD
5668622445,973.0,USD
5668615006,1499.0,USD
5668612602,1164.0,USD
5668611315,777.0,USD
5668610263,1055.0,USD
5668634488,6500.0,USD
5668622224,949.0,USD
5668619348,1160.0,USD
5668613466,1649.0,USD
5668612647,1161.0,USD
5668612044,1495.0,USD
5668612030,946.0,USD
5668638119,1750.0,USD
5668636750,1650.0,USD
5668633317,2047.0,USD
5668627833,1899.0,USD
5668626326,6300.0,USD
5668615727,1211.0,USD
5668615712,1010.0,USD
5668610819,1499.0,USD
5668637979,1400.0,USD
5668635230,2150.0,USD
5668629708,2800.0,USD
5668626842,2400.0,USD
5668624930,1599.0,USD
5668622453,1009.0,USD
5668620290,800.0,USD
5668617440,1525.0,USD
5668614656,1200.0,USD
5668613910,1450.0,USD
5668611702,1410.0,USD
5668611527,941.0,USD
5668633308,1375.0,USD
5668633249,2600.0,USD
5668626240,1743.0,USD
5668626180,1028.0,USD
5668617470,1575.0,USD
5668615033,1400.0,USD
5668613946,1889.0,USD
5668611847,1355.0,USD
5668632712,1009.0,USD
5668624591,900.0,USD
5668624357,1295.0,USD
5668618832,690.0,USD
5668614438,780.0,USD
5668613520,1099.0,USD
5668613174,1222.0,USD
5668611760,2145.0,USD
5668634040,1500.0,USD
5668629911,1499.0,USD
5668628546,919.0,USD
5668627312,3175.0,USD
5668626706,2350.0,USD
5668623923,650.0,USD
5668618029,1320.0,USD
5668617133,1073.0,USD
5668614354,1775.0,USD
5668612094,2695.0,USD
5668254891,850.0,USD
5668632790,949.0,USD
5668628335,1500.0,USD
5668627995,1000.0,USD
5668625740,1799.0,USD
5668624401,1449.0,USD
5668622807,625.0,USD
5668622113,698.0,USD
5668619634,600.0,USD
5668613891,1926.0,USD
5668613529,1089.0,USD
5668613253,1799.0,USD
5668611525,945.0,USD
5668635512,950.0,USD
5668622491,1190.0,USD
5668622471,900.0,USD
5668622217,815.0,USD
5668619515,865.0,USD
5668613918,1685.0,USD
5668613488,1099.0,USD
5668611261,750.0,USD
5668611218,1076.0,USD
5668610923,3952.0,USD
5668610835,1299.0,USD
5668639518,995.0,USD
5668626538,1450.0,USD
5668624922,1299.0,USD
5668624917,1425.0,USD
5668622478,1514.0,USD
5668620300,1665.0,USD
5668619630,1549.0,USD
5668617584,1800.0,USD
5668614911,1035.0,USD
5668614456,1095.0,USD
5668613942,2038.0,USD
5668612651,1655.0,USD
5668612027,2240.0,USD
5668251291,1119.0,USD
5668637952,1334.0,USD
5668629514,2000.0,USD
5668629150,1335.0,USD
5668624403,1399.0,USD
5668624367,1095.0,USD
5668623273,1375.0,USD
5668617488,1849.0,USD
5668616803,1294.0,USD
5668613914,1627.0,USD
5668613217,1802.0,USD
5668612067,1160.0,USD
5668611637,1149.0,USD
5668611283,1880.0,USD
5668611223,1511.0,USD
5668611108,2727.0,USD
5668610964,1599.0,USD
5668610947,1475.0,USD
5668635958,900.0,USD
5668635116,1800.0,USD
5668627360,3000.0,USD
5668624423,1549.0,USD
5668624385,1499.0,USD
5668617231,1675.0,USD
5668614994,1110.0,USD
5668614742,950.0,USD
5668613179,1483.0,USD
5668611268,1599.0,USD
5668610968,4450.0,USD
5668610081,1149.0,USD
5668639742,1650.0,USD
5668634098,625.0,USD
5668633531,895.0,USD
5668629839,1399.0,USD
5668624941,1349.0,USD
5668624370,645.0,USD
5668624305,1264.0,USD
5668624128,1876.0,USD
5668622175,915.0,USD
5668617421,1475.0,USD
5668613854,1410.0,USD
5668612613,1311.0,USD
5668612060,2450.0,USD
5668638747,1900.0,USD
5668638731,810.0,USD
5668635848,1575.0,USD
5668634809,1200.0,USD
5668634338,1850.0,USD
5668633324,2597.0,USD
5668629157,1688.0,USD
5668627931,1750.0,USD
5668626564,680.0,USD
5668622484,755.0,USD
5668622082,1449.0,USD
5668613889,2205.0,USD
5668613728,1587.0,USD
5668613456,1599.0,USD
5668613208,2775.0,USD
5668611271,989.0,USD
5668610299,1115.0,USD
5668637955,2200.0,USD
5668637447,1595.0,USD
5668635337,535.0,USD
5668633358,2400.0,USD
5668624596,850.0,USD
5668623919,1245.0,USD
5668613498,1699.0,USD
5668613480,1399.0,USD
5668612606,960.0,USD
5668638617,1900.0,USD
5668629540,1068.0,USD
5668613886,2100.0,USD
5668613848,1299.0,USD
5668613841,2200.0,USD
5668613762,1345.0,USD
5668612597,1322.0,USD
5668639776,1895.0,USD
5668638986,2395.0,USD
5668632039,1950.0,USD
5668631992,6000.0,USD
5668624549,650.0,USD
5668624394,1399.0,USD
5668622824,1300.0,USD
5668622200,1470.0,USD
5668622168,839.0,USD
5668614428,1427.0,USD
5668613423,1299.0,USD
5668611853,750.0,USD
5668610914,2695.0,USD
5668610554,1975.0,USD
5668610025,1200.0,USD
5668640184,1225.0,USD
5668638465,2195.0,USD
5668637942,1375.0,USD
5668635452,1699.0,USD
5668634772,2250.0,USD
5668634045,1895.0,USD
5668622716,800.0,USD
5668622240,1540.0,USD
5668620305,1515.0,USD
5668619365,1009.0,USD
5668615737,1549.0,USD
5668615012,1525.0,USD
5668614986,1186.0,USD
5668613534,1119.0,USD
5668613472,1649.0,USD
5668610813,1175.0,USD
5668639823,2395.0,USD
5668638431,1600.0,USD
5668637622,3500.0,USD
5668635854,1525.0,USD
5668633057,1200.0,USD
5668631101,1285.0,USD
5668630508,475.0,USD
5668629953,1199.0,USD
5668622460,1290.0,USD
5668622425,855.0,USD
5668622178,544.0,USD
5668619650,580.0,USD
5668617299,905.0,USD
5668616833,2799.0,USD
5668613776,2105.0,USD
5668613587,2626.0,USD
5668611295,819.0,USD
5668610826,1375.0,USD
5668640298,1200.0,USD
5668640079,800.0,USD
5668639653,875.0,USD
5668635443,1200.0,USD
5668629501,2700.0,USD
5668639902,2495.0,USD
5668625780,900.0,USD
5668624315,1095.0,USD
5668620294,1425.0,USD
5668619353,1139.0,USD
5668617110,1500.0,USD
5668614497,1300.0,USD
5668613198,2164.0,USD
5668611668,1316.0,USD
5668611125,1525.0,USD
5668641521,1595.0,USD
5668636256,4995.0,USD
5668633312,2737.0,USD
5668627239,6900.0,USD
5668626219,1474.0,USD
5668624741,3800.0,USD
5668624413,1425.0,USD
5668624380,1349.0,USD
5668620308,1125.0,USD
5668616874,1325.0,USD
5668613494,1499.0,USD
5668613261,2375.0,USD
5668613247,3950.0,USD
5668613232,2085.0,USD
5668612625,1622.0,USD
5668612617,1111.0,USD
5668610831,1399.0,USD
5668610550,2750.0,USD
5668610075,1239.0,USD
5668637926,1450.0,USD
5668634497,1450.0,USD
5668634429,1225.0,USD
5668634054,1150.0,USD
5668633906,2500.0,USD
5668630480,1600.0,USD
5668629181,1595.0,USD
5668624833,2800.0,USD
5668624593,900.0,USD
5668624375,1499.0,USD
5668624341,1510.0,USD
5668624293,1350.0,USD
5668624133,2835.0,USD
5668619509,959.0,USD
5668619341,650.0,USD
5668615334,1445.0,USD
5668613968,1320.0,USD
5668613958,1986.0,USD
5668613955,1953.0,USD
5668613658,1246.0,USD
5668613446,1349.0,USD
5668613414,949.0,USD
