id,amenity_id
5668639818,17
5668639686,17
5668638765,17
5668637998,17
5668630356,17
5668627160,6
5668627160,18
5668627160,22
5668624921,6
5668624921,10
5668624921,19
5668624921,22
5668624600,6
5668624600,22
5668624330,4
5668624330,6
5668624330,10
5668624330,20
5668624330,22
5668622445,4
5668622445,5
5668622445,6
5668622445,7
5668622445,10
5668622445,14
5668622445,15
5668622445,18
5668622445,19
5668622445,20
5668622445,21
5668622445,22
5668622445,23
5668622445,25
5668615006,6
5668615006,10
5668615006,21
5668615006,22
5668612602,18
5668612602,21
5668611315,4
5668611315,5
5668611315,6
5668611315,10
5668611315,18
5668611315,19
5668611315,20
5668611315,21
5668611315,22
5668611315,23
5668610263,21
5668634488,17
5668622224,4
5668622224,5
5668622224,6
5668622224,10
5668622224,14
5668622224,15
5668622224,22
5668622224,23
5668619348,4
5668619348,5
5668619348,6
5668619348,8
5668619348,10
5668619348,14
5668619348,15
5668619348,18
5668619348,19
5668619348,21
5668619348,22
5668619348,23
5668613466,18
5668613466,19
5668613466,22
5668612647,5
5668612647,6
5668612647,18
5668612647,19
5668612647,21
5668612647,22
5668612044,3
5668612044,4
5668612044,5
5668612044,6
5668612044,10
5668612044,19
5668612044,20
5668612044,21
5668612044,22
5668612044,25
5668612030,23
5668638119,17
5668636750,17
5668633317,17
5668627833,17
5668626326,17
5668615727,6
5668615727,10
5668615727,18
5668615727,19
5668615727,21
5668615727,22
5668615712,6
5668615712,18
5668615712,19
5668615712,21
5668615712,22
5668610819,21
5668637979,17
5668635230,17
5668629708,17
5668626842,17
5668624930,17
5668622453,4
5668622453,6
5668622453,9
5668622453,10
5668622453,15
5668622453,18
5668622453,19
5668622453,21
5668622453,22
5668622453,23
5668622453,25
5668620290,4
5668620290,5
5668620290,6
5668620290,10
5668620290,15
5668620290,18
5668620290,21
5668620290,22
5668617440,6
5668617440,9
5668617440,10
5668617440,18
5668617440,19
5668617440,21
5668617440,22
5668617440,23
5668614656,2
5668614656,4
5668614656,5
5668614656,6
5668614656,8
5668614656,10
5668614656,11
5668614656,15
5668614656,18
5668614656,19
5668614656,22
5668614656,23
5668613910,18
5668613910,21
5668611702,4
5668611702,6
5668611702,8
5668611702,10
5668611702,18
5668611702,19
5668611702,21
5668611702,22
5668611527,6
5668611527,21
5668633308,17
5668633249,17
5668626240,9
5668626240,23
5668626180,6
5668626180,20
5668626180,21
5668626180,23
5668617470,17
5668615033,4
5668615033,5
5668615033,6
5668615033,10
5668615033,19
5668615033,22
5668613946,6
5668613946,18
5668613946,19
5668613946,21
5668613946,22
5668611847,6
5668611847,10
5668611847,15
5668611847,18
5668611847,21
5668611847,22
5668611847,23
5668632712,17
5668624591,21
5668624357,4
5668624357,5
5668624357,6
5668624357,8
5668624357,10
5668624357,12
5668624357,14
5668624357,15
5668624357,18
5668624357,21
5668624357,22
5668624357,23
5668618832,4
5668618832,5
5668618832,6
5668618832,10
5668618832,15
5668618832,18
5668618832,19
5668618832,21
5668618832,22
5668614438,6
5668614438,20
5668614438,21
5668614438,22
5668614438,25
5668613520,18
5668613520,22
5668613174,4
5668613174,6
5668613174,10
5668613174,18
5668613174,21
5668613174,22
5668611760,21
5668634040,17
5668629911,17
5668628546,17
5668627312,17
5668626706,17
5668623923,21
5668618029,6
5668618029,19
5668618029,21
5668617133,5
5668617133,6
5668617133,15
5668617133,19
5668617133,20
5668617133,21
5668617133,22
5668614354,5
5668614354,6
5668614354,10
5668614354,18
5668614354,19
5668614354,21
5668614354,22
5668614354,23
5668612094,4
5668612094,6
5668612094,8
5668612094,10
5668612094,11
5668612094,18
5668612094,22
5668612094,23
5668254891,22
5668632790,17
5668628335,17
5668627995,17
5668625740,17
5668624401,6
5668624401,10
5668624401,22
5668622807,21
5668622113,6
5668622113,11
5668622113,19
5668622113,20
5668622113,21
5668622113,22
5668622113,25
5668619634,21
5668613891,6
5668613891,18
5668613891,19
5668613891,22
5668613529,19
5668613529,21
5668613529,22
5668613253,3
5668613253,4
5668613253,5
5668613253,6
5668613253,9
5668613253,15
5668613253,18
5668613253,19
5668613253,20
5668613253,21
5668613253,22
5668611525,21
5668611525,22
5668635512,17
5668622491,5
5668622491,6
5668622491,8
5668622491,9
5668622491,20
5668622491,21
5668622491,22
5668622491,23
5668622471,21
5668622217,5
5668622217,6
5668622217,10
5668622217,19
5668622217,21
5668622217,22
5668619515,17
5668613918,4
5668613918,6
5668613918,9
5668613918,10
5668613918,19
5668613918,21
5668613918,22
5668613918,23
5668613918,24
5668613488,18
5668613488,22
5668611261,4
5668611261,6
5668611261,15
5668611261,18
5668611261,19
5668611261,22
5668611261,23
5668611218,4
5668611218,6
5668611218,9
5668611218,15
5668611218,18
5668611218,19
5668611218,22
5668611218,23
5668610923,9
5668610923,21
5668610923,22
5668610835,17
5668639518,17
5668626538,17
5668624922,6
5668624922,9
5668624922,22
5668624917,6
5668624917,9
5668624917,19
5668624917,22
5668622478,19
5668622478,20
5668622478,21
5668622478,22
5668622478,23
5668622478,25
5668620300,17
5668619630,6
5668619630,19
5668619630,22
5668617584,6
5668617584,10
5668617584,18
5668617584,19
5668617584,22
5668614911,6
5668614911,15
5668614911,18
5668614911,19
5668614911,22
5668614456,3
5668614456,4
5668614456,5
5668614456,6
5668614456,15
5668614456,19
5668614456,20
5668614456,21
5668614456,22
5668614456,25
5668613942,6
5668613942,18
5668613942,21
5668613942,22
5668613942,23
5668612651,4
5668612651,6
5668612651,8
5668612651,15
5668612651,18
5668612651,19
5668612651,21
5668612651,22
5668612027,4
5668612027,5
5668612027,6
5668612027,8
5668612027,15
5668612027,18
5668612027,19
5668612027,21
5668612027,22
5668251291,6
5668251291,10
5668251291,22
5668637952,8
5668629514,17
5668629150,21
5668624403,6
5668624403,9
5668624403,19
5668624403,22
5668624367,17
5668623273,3
5668623273,4
5668623273,5
5668623273,6
5668623273,8
5668623273,10
5668623273,15
5668623273,18
5668623273,21
5668623273,22
5668623273,23
5668617488,6
5668617488,10
5668617488,19
5668617488,22
5668616803,6
5668616803,21
5668616803,22
5668613914,18
5668613217,4
5668613217,5
5668613217,6
5668613217,8
5668613217,10
5668613217,11
5668613217,18
5668613217,19
5668613217,21
5668613217,22
5668613217,23
5668612067,5
5668612067,6
5668612067,18
5668612067,20
5668612067,21
5668612067,22
5668611637,4
5668611637,5
5668611637,6
5668611637,10
5668611637,11
5668611637,15
5668611637,18
5668611637,21
5668611637,22
5668611283,17
5668611223,5
5668611223,6
5668611223,18
5668611223,21
5668611223,22
5668611108,4
5668611108,5
5668611108,6
5668611108,10
5668611108,15
5668611108,18
5668611108,19
5668611108,22
5668611108,23
5668610964,17
5668610947,6
5668610947,9
5668610947,22
5668635958,17
5668635116,17
5668627360,17
5668624423,6
5668624423,10
